URI	instances	micro-precision	micro-recall	micro-F1
http://dbpedia.org/resource/Ministry_of_Defence_(Czech_Republic)	1	1.0	1.0	1.0
http://dbpedia.org/resource/Marshall_Thundering_Herd_football	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Pew_Internet_and_American_Life_Project	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Lindsay_Bramson	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Mary_Keefe	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Tampa_Bay_Lightning	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Retailers_Association_of_Massachusetts	1	1.0	1.0	1.0
http://dbpedia.org/resource/Kansas_City_Chiefs	1	1.0	1.0	1.0
http://dbpedia.org/resource/Bangor,_Iowa	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Leslie_Drake	1	0.5	1.0	0.6666666666666666
http://aksw.org/notInWiki/Jahlil	1	1.0	1.0	1.0
http://aksw.org/notInWiki/KATU_News	1	1.0	1.0	1.0
http://dbpedia.org/resource/Eric_Wedge	2	1.0	0.5	0.6666666666666666
http://aksw.org/notInWiki/Gregoire	1	0.5	1.0	0.6666666666666666
http://dbpedia.org/resource/Ir_Amim	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Dennis_Huang	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Deputy_PM	1	1.0	1.0	1.0
http://dbpedia.org/resource/Jim_Donnan	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Giang	1	1.0	1.0	1.0
http://dbpedia.org/resource/Associated_Press	11	1.0	0.2727272727272727	0.42857142857142855
http://dbpedia.org/resource/FA_Cup	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Diane_DeCillis	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Banny_Banerjee	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Donna_Williams	1	1.0	1.0	1.0
http://dbpedia.org/resource/Italy_national_football_team	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Diane_Ako	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Rick_Steelhammer	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Angelo_Binno	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Protect_Marriage_Maine	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Hillary_Cohen	1	1.0	1.0	1.0
http://dbpedia.org/resource/Charles_Aznavour	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Christopher_Matthews	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Dave_Olson	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Miami_Central	1	1.0	1.0	1.0
http://aksw.org/notInWiki/New_York_City_Department_of_Sanitation	1	1.0	1.0	1.0
http://dbpedia.org/resource/Jeff_Bezos	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/San_Francisco_Bay_Area	1	1.0	1.0	1.0
http://dbpedia.org/resource/Luis_Guti%C3%A9rrez	1	1.0	1.0	1.0
http://dbpedia.org/resource/Nancy_Brinker	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Beverly_Jo_Harris	2	1.0	0.5	0.6666666666666666
http://dbpedia.org/resource/Jeff_Crowe	1	1.0	1.0	1.0
http://dbpedia.org/resource/Tucson,_Arizona	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Jodi_Tinson	1	1.0	1.0	1.0
http://dbpedia.org/resource/The_National_Marriage_Project	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Lou_Molella	1	1.0	1.0	1.0
http://dbpedia.org/resource/Chrysler	1	1.0	1.0	1.0
http://aksw.org/notInWiki/San_Dimas_Pharmacy	1	1.0	1.0	1.0
http://dbpedia.org/resource/UNESCO	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Bob_Emrich	1	1.0	1.0	1.0
http://aksw.org/notInWiki/Dan_McCranie	1	1.0	1.0	1.0
